target,1rank,2rank,3rank,4rank,5rank
898,898,1387,1761,162,280
90,90,1649,2564,2196,2471
897,897,2567,1194,1290,456
425,1576,425,2620,2306,2544
1753,1753,2068,81,1401,2258
67,1898,1575,67,1051,1066
1134,1134,1805,1112,1880,2132
516,516,1742,422,889,1033
1486,1486,2118,2272,13,1581
2351,2351,1647,1003,2065,683
2310,2310,2485,331,642,1973
175,175,1776,926,2561,2415
1547,1547,1806,2630,1877,452
1426,1426,1845,1894,778,1784
1598,1598,2118,1964,339,481
1289,238,1998,1289,1696,2592
1879,1879,551,2380,2255,2435
1599,1599,2249,1009,0,1370
1880,1880,1805,1134,1112,1407
607,607,2282,786,1389,183
610,610,552,10,369,1175
1228,1228,1813,12,2259,24
1229,1229,2612,141,356,371
611,611,906,1073,1161,1337
1076,1076,1582,896,1218,1455
1276,868,1276,1762,319,1199
1629,1629,1392,698,2214,1339
2726,2726,2538,322,715,440
282,282,1423,325,2162,2686
1643,1643,2139,727,1900,2567
1597,1597,1869,2087,1082,1808
1868,1868,1841,2064,1760,92
1596,1596,825,603,2540,2431
638,1750,257,638,1828,2
354,354,1718,1924,1206,779
2378,2378,714,446,1274,621
805,1543,805,363,815,2285
1691,1691,146,208,71,2232
1544,1544,110,1082,1768,595
2317,2317,2036,966,405,2697
1659,1659,1130,1306,2225,222
1087,1087,2509,844,1967,1376
2275,1713,2275,953,274,1607
2276,1042,1208,1633,2274,188
2277,2277,2212,640,2097,1324
668,668,169,1509,1177,343
2051,1704,2051,2586,2033,1308
2405,2405,944,2167,2657,1059
570,1909,570,1047,1813,1320
810,810,1799,266,199,2142
205,567,205,1336,1081,229
2595,2595,27,2437,1184,2630
1543,1543,805,363,815,2285
2571,2571,52,1892,2022,2208
1825,915,1825,96,241,487
841,1772,841,1587,2382,397
2580,2580,2161,2203,2564,2212
783,783,1184,2437,1175,10
601,601,1428,1217,1518,1831
2443,2443,366,834,1350,1039
881,881,2376,2373,1707,2252
2524,313,1635,2524,703,1301
651,651,2222,590,2086,2635
2115,2115,2710,949,1770,1214
2354,2083,28,2354,1902,1614
1406,1461,1406,1952,403,790
1166,1166,683,1730,1792,2660
981,967,981,75,130,88
778,1894,778,2609,2645,1025
1118,1324,1118,429,2093,301
1117,1117,2146,1020,577,1152
1834,1834,639,2520,964,1434
2679,2679,643,977,2644,2321
1309,1309,982,2332,188,2276
1310,1310,1975,2687,2589,200
1307,923,1307,2730,416,1302
1308,1050,1308,2066,1916,1368
2687,2687,1975,200,2589,14
2488,2488,1211,1921,553,444
2526,2526,991,1008,2691,2195
1135,1135,2724,2278,2318,2509
2557,2557,414,2142,2135,2185
413,492,1321,2144,1915,2584
1077,1077,2272,1439,2305,1581
313,313,1635,2524,703,1301
2648,2596,2361,2648,1395,1824
1626,1626,199,1806,266,936
852,852,1845,1046,140,1889
1648,1342,2207,489,1480,1648
1983,1983,48,1239,2436,325
961,961,595,312,280,112
1967,1376,1967,2404,2463,1087
775,2263,775,404,984,2639
2532,2532,672,2551,1441,249
1151,877,1151,464,1369,1527
2400,3,2324,519,1040,2400
2531,492,1321,2144,1915,2584
2398,2398,2647,1683,616,873
2530,848,2530,946,1265,2706
2529,1342,2207,489,1480,1648
2528,2528,1490,867,422,1431
885,885,2332,2274,1042,2276
1662,1662,308,1408,1499,500
285,285,1671,572,1679,502
286,286,1735,108,2683,316
251,2057,251,2054,2121,2445
250,250,1186,1464,2292,2540
249,249,174,1225,1777,429
118,688,93,1935,243,118
2064,2064,92,37,277,1868
781,781,2231,1225,900,301
2640,2640,1375,1602,1068,2413
563,563,2035,2023,1407,2103
581,238,1998,1289,1696,2592
1173,492,1321,2144,1915,2584
1489,1489,494,835,1718,537
115,2092,115,1673,442,1227
1853,1853,1935,93,1250,243
1462,1462,1380,2370,1330,589
2708,163,1010,1321,2411,2493
2618,1219,741,1165,631,1973
1585,1585,2410,2286,2508,1775
1699,1699,529,1248,2568,964
349,349,1657,1472,602,576
350,2512,350,943,827,1162
1196,1355,1299,109,1196,403
1194,2727,2030,1259,1290,1194
2050,2050,1872,1520,33,2262
1193,1592,2548,619,1507,1193
2048,1701,2048,1308,1130,1050
1195,163,1010,1321,2411,2493
2049,164,78,63,1942,2049
574,163,1010,1321,2411,2493
575,294,575,2423,1934,84
576,576,127,1043,271,423
1208,1042,1208,1633,2274,188
1379,1379,2142,810,1799,414
1774,1774,1492,979,178,1297
1812,1812,2510,316,497,2721
1844,163,1010,1321,2411,2493
2547,2093,2547,829,2601,1118
1843,1843,467,1132,1430,2630
1842,1842,2033,1725,65,2495
1192,1192,1341,811,1502,2061
2188,2188,1746,575,294,25
547,547,1551,588,525,145
1767,1767,588,2259,24,2654
546,546,54,762,2197,768
1931,1931,1806,1547,634,1944
2429,2429,1843,1506,414,990
2682,2047,2682,2085,2140,2220
1953,1953,1537,259,1905,1191
2671,2671,1306,1130,1725,1842
770,1568,2122,1736,770,1001
2459,2459,192,151,734,1630
612,1997,612,1867,1160,1649
2160,2160,1615,1176,56,1569
2197,2197,585,2015,31,1452
2358,2358,1074,1435,828,1819
2389,2389,617,2663,2541,2646
664,664,1261,2411,2552,1500
710,710,2626,538,2667,1105
708,513,708,2503,669,419
1705,1705,635,2518,1081,1026
1944,1944,1931,2721,1996,213
1007,1007,2213,613,1806,307
107,107,1210,1561,1728,805
2215,2215,400,1089,1025,2070
1203,1203,1885,2722,514,979
628,628,877,176,1974,1151
1202,1202,1269,206,1063,2261
1204,1204,2368,382,2360,763
1176,2160,1615,1176,56,1569
826,826,2167,1263,2510,1812
1345,1345,1012,20,742,925
592,592,2705,2195,490,148
2292,2292,2349,1257,1186,1464
741,1219,741,1165,631,1973
1147,1147,197,597,2163,2344
2554,571,388,1230,1883,2554
123,123,706,537,401,580
360,360,2388,1279,428,2267
2360,382,2360,1204,148,292
1179,899,1179,2146,22,577
1188,1188,56,2112,1700,2306
2396,2396,1913,2331,1555,2161
750,750,789,1548,2362,2180
1230,571,388,1230,1883,2554
669,669,2018,1071,612,1208
2665,2665,320,490,1000,433
1907,1907,1748,2432,1267,2435
1416,163,1010,1321,2411,2493
1855,498,99,1855,1538,841
1407,2103,1407,1880,146,1176
2308,2308,1053,2668,1114,1389
2162,2162,2392,2686,282,2263
786,786,1389,962,950,1053
1008,1008,2691,2526,999,2423
2587,2587,2218,1035,600,720
2357,1200,2357,2625,106,1055
734,734,151,2302,2375,1469
850,850,1387,2601,961,2549
851,851,314,526,2416,1577
2608,2608,1877,2713,1359,2583
1311,1311,2327,782,210,1093
1102,1102,363,2231,108,347
2303,2017,211,2303,1314,1450
2322,1042,1208,1633,2274,188
2233,2233,192,2375,1871,911
203,203,432,1546,1627,1242
227,227,691,2052,1832,1362
1558,1558,1720,801,770,1324
479,479,2162,2375,2233,984
1238,1238,2630,452,1547,266
1562,1562,778,1392,1299,2013
463,463,89,1372,403,1474
464,464,1527,1897,320,148
1033,1033,785,928,1443,679
1034,1034,1823,2535,122,2329
764,764,624,74,338,533
356,356,469,1421,1070,1229
886,362,1553,886,1250,688
1493,1493,1965,2585,1479,857
1494,1494,1335,476,2655,1066
499,1679,499,909,1723,2723
498,498,99,1855,1538,841
1010,1010,2681,2463,1815,1735
1550,1550,233,938,1890,836
2375,2375,2058,151,734,1026
1330,1330,589,2256,757,1462
408,408,2134,2574,1720,801
571,571,388,1230,1883,2554
2493,2493,1901,2196,1154,2706
2411,2411,2069,2615,433,1019
1321,492,1321,2144,1915,2584
2204,2204,82,125,1455,605
2494,212,2494,752,1715,2071
835,835,2252,537,845,1489
1755,1755,1388,1777,777,1716
964,964,461,1605,1125,1248
1657,1657,349,663,2628,1472
1079,1079,2104,737,1469,709
2566,2566,2480,1303,2169,543
1658,1658,2450,920,63,1942
2613,2613,1625,1848,972,58
2614,2614,2365,174,249,2242
2615,2615,1984,2411,1673,2205
1674,492,1321,2144,1915,2584
2551,2551,1646,1388,1777,1116
1987,2433,1987,296,793,693
1986,1986,646,2636,2298,477
1985,1985,1205,1584,2644,1483
1498,1498,2097,2295,184,1764
1984,1984,2615,1539,1048,991
1119,1119,1182,644,2234,90
890,890,776,454,132,1303
762,54,762,546,525,1551
755,755,1237,1548,2180,1906
1465,1465,810,1799,266,199
2205,2205,1959,1126,115,2092
2385,2385,752,2494,1089,212
11,11,1453,1274,2521,1972
1797,1797,1934,1019,937,2295
1800,238,1998,1289,1696,2592
1799,810,1799,266,199,2142
1798,1798,228,1037,802,1376
50,163,1010,1321,2411,2493
2052,2052,227,459,132,1795
2673,2673,863,1696,1289,1739
2507,1224,2689,2507,2215,400
1445,1445,931,121,1943,548
828,828,891,2043,1623,2402
1381,1381,830,2404,1491,2394
959,2407,1167,819,959,859
1760,1760,1868,119,2064,1841
1367,1367,1391,1925,1264,2402
958,492,1321,2144,1915,2584
949,1214,949,1770,626,2115
956,1354,2573,952,2341,2016
946,946,1265,2394,1764,2404
947,947,1525,603,1090,2638
722,1385,722,2542,2709,1136
948,2083,28,2354,1902,1614
950,950,2505,1389,786,956
951,492,1321,2144,1915,2584
957,957,2294,1709,891,1831
952,1354,2573,952,2341,2016
953,953,2275,1713,445,81
955,955,444,1679,2415,499
954,492,1321,2144,1915,2584
1766,1766,545,713,1177,602
1513,1513,2326,2090,1541,366
1517,304,1517,712,770,1568
1516,974,315,1516,304,418
1515,1515,533,74,1437,1128
1514,1514,2110,2190,1473,2242
1519,1519,249,174,1356,900
281,659,281,1949,603,2540
1518,1518,1217,1367,1785,1391
916,2237,1914,916,1850,1332
433,433,592,2665,2195,2705
2174,1268,1859,2174,1689,1145
407,2639,407,2501,1569,540
723,723,888,1656,186,1319
2116,1810,2116,513,2598,1572
967,967,981,75,130,88
2014,2336,2014,1908,967,1987
2015,2015,2197,2087,98,525
2016,1354,2573,952,2341,2016
2017,2017,211,2303,1314,1450
2018,1240,2018,2268,2040,1649
2020,2020,429,781,276,644
2019,2019,2089,112,1390,139
2013,2013,1962,1052,2053,767
2426,2426,1158,401,2496,580
1125,461,1125,1248,1349,2377
1632,1632,2046,2355,1618,1068
2623,2623,306,1313,2375,1627
1055,1200,2357,2625,106,1055
1056,1138,1056,1476,493,2033
314,314,263,2094,2320,2059
1057,1057,677,18,2334,2205
1133,1133,2339,332,310,1069
1270,1270,214,297,834,341
2516,2516,1845,2241,2441,245
117,163,1010,1321,2411,2493
531,531,859,61,2281,2495
1415,1415,746,689,554,1502
362,362,1553,886,1250,688
2517,2517,1216,223,122,1653
204,204,2582,2223,1944,614
2515,2515,366,2064,1464,250
2519,2519,1087,1293,1243,789
2518,2518,2084,2559,1768,2113
447,447,2097,2163,2547,2093
443,443,1912,485,1656,430
445,445,1469,681,1247,151
449,163,1010,1321,2411,2493
448,448,907,999,541,1732
446,446,621,1877,2713,1881
444,444,2723,1577,2416,1817
1889,1889,2077,1786,1005,140
1074,1074,1982,891,1146,2358
81,81,681,1447,1314,1777
2641,2641,1968,1017,2119,1916
1704,1704,2051,2586,2033,1308
492,492,1321,2144,1915,2584
381,163,1010,1321,2411,2493
490,490,148,320,1000,1897
489,1342,2207,489,1480,1648
488,488,2031,1027,507,1061
963,963,290,978,1693,1581
379,753,765,379,1693,319
380,371,380,1229,460,1850
491,757,2256,1583,491,1584
486,960,2316,1377,486,2237
487,915,1825,96,241,487
466,466,1758,189,2687,2589
899,899,1179,2146,22,577
1835,492,1321,2144,1915,2584
1836,1836,673,2366,2190,612
1837,1837,222,2225,264,1659
478,478,1957,2478,629,1135
1838,1838,309,1964,1471,1273
884,945,884,2278,1492,1237
2688,865,477,2688,1364,1865
2085,2085,393,2682,2047,218
2086,2086,2635,847,2218,2369
2590,2590,2564,1079,1970,1455
794,794,911,718,1705,2518
793,2433,1987,296,793,693
1472,1472,423,349,2041,820
460,2602,1027,460,1961,685
201,201,1429,2306,1576,2544
202,1478,202,2657,1059,2495
2458,2458,1390,139,531,859
1268,1268,1859,2174,1689,1145
2371,2398,2647,1683,616,873
2127,2127,338,1983,368,1038
1210,107,1210,1561,1728,805
503,1661,503,569,1088,375
1032,1032,2113,162,2318,1258
1638,337,149,2182,539,1638
1639,902,1639,2646,717,1903
2054,2054,1161,1337,251,2057
1791,1791,1129,1063,206,2651
1885,1885,2160,1176,1615,979
494,494,1070,1489,1202,262
15,15,2692,1698,1929,758
933,933,761,2618,1165,631
1792,1688,1792,1730,2710,1277
1732,1732,56,1755,2071,2322
2271,2271,1487,2045,2287,2642
863,863,1403,2673,1628,21
237,237,2686,2009,1551,525
665,665,176,2403,1974,2360
1936,1936,2556,555,49,1323
310,310,1133,2059,1716,2339
818,818,384,1059,1324,2657
1073,1073,611,810,1799,1337
89,89,1853,702,136,1690
1865,1865,1849,1366,481,13
1866,1866,1910,45,1474,937
1137,1137,253,1619,2163,447
2082,2082,1336,1608,1465,1081
1222,1222,2421,1630,2068,2319
529,529,191,216,1784,2609
2280,2517,1216,223,122,1653
2437,2437,2595,1430,10,783
1964,1838,309,1964,1471,1273
1963,58,1963,637,51,1535
1641,1641,352,2319,159,1306
143,143,798,472,2390,2158
358,598,358,961,2087,1082
934,934,441,1670,837,2178
540,540,1325,675,470,1763
2661,2661,1890,982,1325,2643
1346,1346,1340,582,944,2495
2111,2111,2377,1731,934,837
1945,1945,283,2053,2377,1050
2178,934,441,1670,837,2178
2143,2143,821,487,241,690
1793,1793,351,1806,1007,1547
485,485,1912,411,1595,2165
2440,8,1578,2440,345,1
2441,2441,59,290,325,321
728,728,160,1136,2709,1765
1859,1268,1859,2174,1689,1145
866,866,2126,424,2208,2460
1360,1360,1952,1550,2342,790
2412,2412,879,334,984,775
1349,1349,1125,461,718,1989
1348,1348,2641,2119,1017,1968
1347,1347,1719,949,1770,1214
975,975,1606,1776,2048,1098
2108,2108,2026,398,2349,1464
1961,2602,1027,460,1961,685
156,1756,156,109,1355,2222
368,368,1038,474,727,1900
252,252,632,1016,1031,1698
1038,368,1038,474,727,1900
1037,1037,1066,1234,1798,1482
1650,1650,869,2130,1528,2575
2619,2619,656,15,2414,1609
1670,934,441,1670,837,2178
1995,1995,1707,1010,2173,1940
1686,2325,2448,910,2406,1686
385,385,1618,1032,1393,2543
2107,2107,311,1957,730,2294
2632,2632,1572,1236,42,1082
178,1492,178,1561,1569,884
341,341,1842,2033,1725,1671
1508,2244,1378,1508,1948,1213
2171,1354,2573,952,2341,2016
1714,1714,2599,1174,1793,614
1726,1726,1871,217,1585,2191
1108,1108,2493,2196,1901,1218
2106,2106,2217,122,1141,1292
2224,2224,114,2091,1588,1433
1586,1586,1598,870,256,1450
2356,163,1010,1321,2411,2493
2407,2407,1167,819,959,859
2406,2325,2448,910,2406,1686
2408,1675,2408,378,24,2259
2537,2537,1187,1534,1829,1397
721,721,2007,1979,2577,906
2347,994,417,2347,1830,558
2172,512,1563,2172,1417,402
551,551,2255,2427,1963,1535
1139,1139,1068,2511,1688,2671
2520,2520,639,1834,192,709
437,437,2077,1382,594,2664
744,744,1089,524,1855,99
627,627,867,1431,1716,561
2007,2007,2577,721,207,2558
324,324,317,372,2072,2383
2304,2304,1924,471,1206,2239
2268,1240,2018,2268,2040,1649
1312,1312,687,572,945,884
2446,2446,911,794,2641,2337
2612,141,2612,774,1474,1228
654,654,1906,2289,592,382
404,2263,775,404,984,2639
1408,1408,841,1049,692,1662
1058,1058,949,1214,1770,1820
2102,2246,2102,2027,1679,499
2631,2631,1523,628,1203,1297
2701,2701,2054,1318,517,1882
559,559,1418,2059,2712,2320
1252,1252,2191,1123,2503,420
1251,2624,1251,597,512,1563
1250,688,93,1935,243,118
1249,2553,2328,1249,1320,2305
1248,1248,129,461,1125,595
1246,1342,2207,489,1480,1648
1253,1253,1560,2407,1964,819
1247,1247,1970,445,430,1858
562,562,2065,2123,773,733
1405,965,2184,1405,1862,849
323,323,767,2167,2066,1672
760,760,1242,1424,2693,1046
322,322,1922,989,2536,2726
1646,1646,2551,1388,1777,1116
321,321,2686,1235,1100,145
1495,198,1495,1305,1113,2413
966,966,2036,1781,980,2317
625,625,415,527,100,2327
39,137,2230,39,2247,602
935,935,1228,2486,515,1802
2190,1473,2242,2190,2366,2110
2125,2125,1049,692,2340,378
1716,777,1716,1996,213,982
1715,1715,212,2494,1815,2681
1845,1845,2516,1426,656,1100
1948,1028,988,1446,1213,1948
1949,1949,787,659,281,374
1950,1950,1763,470,540,1325
594,594,2490,1481,621,446
2093,2093,2547,829,2601,1118
347,347,541,1189,2344,1559
1895,1895,2418,1060,1116,2163
1896,492,1321,2144,1915,2584
1894,1894,778,2609,2645,1025
1898,1898,1575,67,1051,1066
1049,1049,692,1719,1401,397
1897,490,148,320,1000,1897
1051,1898,1575,67,1051,1066
1050,1050,1308,2066,1916,1368
790,790,1360,1406,1461,2643
1523,1523,2501,407,2639,979
1848,58,1963,637,51,1535
1637,913,1637,1968,1059,222
1827,1827,186,888,2694,668
1110,1110,907,735,1502,2037
2514,2514,400,2215,713,1950
2513,2513,1958,595,1582,1191
153,153,2377,2096,1201,2355
715,715,2538,2669,1783,1157
1849,1865,1849,1366,481,13
120,120,1437,2012,680,970
1272,1272,1122,794,2307,2391
2508,2508,2286,1775,886,362
1136,1136,722,2204,1385,82
2684,2684,1926,1977,1785,308
2284,1354,2573,952,2341,2016
2283,163,1010,1321,2411,2493
2282,2282,1062,2233,607,1131
2281,2281,2471,2564,2079,859
2297,2297,850,898,1387,280
355,355,2474,2630,452,2120
45,1474,45,1866,702,530
2675,2675,273,2512,350,2578
43,43,2262,2672,1918,214
44,44,925,742,1345,1012
672,2532,672,2551,1441,249
681,681,81,1485,445,1469
1335,1335,1966,376,1494,1283
2650,2650,588,926,145,427
1993,1993,2248,340,959,1167
42,42,2568,598,358,419
275,1533,2442,1368,275,2002
1329,1369,1329,1897,1000,148
274,274,1607,2671,1366,1167
1131,1131,2585,610,2166,857
2211,2211,1086,1183,2159,2422
475,475,256,917,1021,1515
1484,1484,1120,1270,1489,705
1971,1971,1854,1673,2092,2615
170,170,749,188,2274,1042
1603,1603,267,176,2403,1974
2088,2088,492,954,473,2144
293,293,543,2487,2494,212
896,896,1076,2073,1582,1470
388,571,388,1230,1883,2554
387,387,2677,1255,872,2577
2567,2567,335,2337,1643,948
1350,1350,2062,2226,1128,938
1020,2146,1020,1186,1117,1571
2009,2009,2132,178,1492,208
1174,1174,614,2054,2008,1714
941,941,1135,1700,1576,2112
1819,1819,1962,1982,1286,61
2706,2706,2493,2530,848,1241
2313,2313,398,2108,2376,2499
16,16,1485,1170,1719,2382
523,523,1054,1589,1120,2711
520,520,1007,2213,116,1626
521,521,653,548,731,2185
522,522,1039,826,1676,2443
524,524,744,1942,164,63
221,221,1537,1773,2231,436
60,2070,60,1275,1528,400
2482,2498,2482,2494,212,587
1306,1306,297,1271,1659,822
1101,1101,1260,2226,233,2571
1100,1100,321,1390,247,139
1645,1645,641,602,1628,1403
1644,1644,1534,1762,2224,868
1607,274,1607,2671,1366,1167
789,750,789,1548,2362,2180
1060,1060,2113,2163,1895,1059
2053,1052,2053,2699,719,1360
1920,1920,2009,926,1627,1546
1919,1919,1210,107,1204,156
690,915,1825,96,241,487
1814,8,1578,2440,345,1
58,58,1963,637,51,1535
2419,1858,2419,110,1574,1314
53,1750,257,638,1828,2
1075,1075,672,1709,2532,662
343,343,2395,2480,2374,15
2552,2552,2482,2498,2069,2424
838,838,299,193,564,1402
432,432,747,2692,700,1968
1124,1124,868,1762,1276,319
976,976,181,2470,361,843
2388,2388,360,2444,894,1185
353,353,803,2009,817,237
37,277,37,2594,1111,2206
1555,1555,216,2396,2133,656
1554,1554,2582,1189,1929,1944
2553,2553,2328,1249,1320,2305
38,38,2170,1612,386,1189
2037,2037,1710,525,1551,1579
845,57,845,1556,2530,848
2392,2392,1475,2686,2162,1929
2393,2393,164,78,542,2049
848,848,2530,946,1265,2706
1424,1424,588,547,279,2650
1909,1909,570,1047,1813,1320
849,1045,701,1601,2381,849
2128,2128,1161,2386,906,1536
307,307,2213,1881,1711,2117
1600,1600,2697,1941,1254,1668
2586,1704,2051,2586,2033,1308
338,338,803,724,1904,1509
2267,2267,1728,1543,805,1102
777,777,1716,1996,213,982
1116,1116,2372,876,2551,1198
431,431,2069,2063,519,3
435,435,2293,65,295,1609
1913,1913,1566,2331,2396,2417
977,977,1684,90,764,1105
2718,1099,2718,2298,2695,2330
1875,1875,2231,2534,1102,2500
1098,1098,1909,975,570,1751
395,395,2489,887,2452,436
2092,2092,115,1673,442,1227
24,24,2654,2259,570,995
394,313,1635,2524,703,1301
1457,1449,1457,2119,1968,1604
389,389,795,1033,1224,519
29,29,66,962,2174,1859
1876,2629,530,1690,2506,702
2380,2380,1879,551,2613,1625
811,811,895,2061,336,2348
812,812,193,40,2186,235
1456,1456,1320,1316,1248,1544
2719,2719,11,1379,355,2363
35,35,1852,403,1201,1448
1111,2698,1111,2189,517,2457
1526,1526,2725,1631,1199,937
822,822,1212,1306,9,1604
2074,605,2074,655,82,2204
2072,2072,2383,372,1921,2076
2540,2540,787,1596,366,250
1537,1537,221,1953,1359,1773
2065,2065,2091,562,2604,2353
1461,1461,1406,1952,403,790
2374,2374,517,1024,686,2701
2674,238,1998,1289,1696,2592
301,301,363,781,1566,1892
211,2017,211,2303,1314,1450
903,903,1452,2015,2419,1858
2349,2349,2000,1664,739,2292
200,2687,1975,200,2589,14
183,183,17,2595,27,2591
182,182,2578,1742,863,889
181,181,993,2096,1556,265
180,180,2067,2599,1382,446
179,179,971,1061,451,1057
989,989,322,154,1922,2536
